School Name,City,AP Classes?,Dual Enrollment?,Offers Electives?,Math Score,English Score,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,student_faculty_ratio,school_type
Aace Paradise Valley,Phoenix,Yes,No,No,42%,52%,"8,600",151,71.4,2.2,0.3,19.3,2.5,4.3,20.2,Public
Aace Smcc Campus,Phoenix,No,No,No,28%,13%,"11,894",294,6.2,5,1,85.6,1,1.2,34.3,Public
Accel,Phoenix,No,No,No,60,70,"2,938",24,28.6,12,1.6,30.7,0.5,26.6,1.4,Private
Accelerated Learning Center,Phoenix,Yes,No,No,30%,30%,,,74,1,0.7,19.2,,5.3,,
West-Mec - West View High School,Avondale,no,,,70,65,,,20,20,10,40,0,10,,
Westview High School,Avondale,yes,,,21,22,9468,165,20,10,1,64,3,2,,
Buckeye Union High School,Buckeye,Yes,yes,,22,21,10815,191,32,8,1,58,0.5,0.5,,
West-Mec - Desert Edge High School,Goodyear,,,,50,60,"25,823",609,50,0,,50,0,0,10.7,Public
West-mec-Estrella East Hills High School,Goodyear,,,,50,60,"24,575",533,81,0,,13,0,1,,
West-mec-Millenium High School,Goodyear,,,,67,72,,,,,,,,,,
Williams Field High School,Higley,yes,No,No,90,55,2001,68,63,5,,22,5,4,,
West-Mec - Desert Edge High School,Goodyear,yes,yes,no,50,50,9497,166,9,27,4,53,3,4,10.7,Public
Imagine East Mesa Middle School,Mesa,yes,no,yes,37%,42%,523,223,76,8,2,40,4,3,21.2,Private
Gilbert Classical Academy Junior,Glibert,yes,no,yes,88%,85%,47,11,64,6,0,30,38,6,3.7,Private
Gilbert Christian Schools,Gilbert,yes,yes,yes,52%,58%,703,8,85,12,1,48,29,6,10.2,Private
Gilbert Global Academy High School,Gilbert,yes,yes,yes,58%,47%,"10,990",195,34,2,2,6,1,0,15.1,Private
Gilbert Classical Academy High School,Gilbert,yes,yes,yes,92%,92%,47,7,63,6,1,43,53,3,0.8,Private
Vista Peak,Phoenix,Yes,Yes,No,29%,19%,22127,1321,64%,16%,2%,15%,0%,3%,29.9,Public
Vista Verde Middle School,Phoenix,Yes,No,Yes,13%,26%,1251,383,4%,32%,3%,56%,2%,2%,34,Public
Washington High School,Phoenix,Yes,Yes,Yes,21%,26%,3571,56,17%,13%,3%,60%,6%,1%,31.5,Public
West Phoenix High School,Phoenix,Yes,Yes,Yes,8%,17%,12304,1596,2%,5%,1%,90%,0%,1%,33.5,Public
West-mec - Barry Goldwater High School,Phoenix,Yes,Yes,Yes,50%,35%,Unranked,Unranked,39%,9%,,52%,,60.9,,
Faith Christian School,Mesa,Yes,Yes,Yes,60,55,"3,896th out of 7,602",35th out of 74,64%,3%,0%,16%,16%,1%,19,Public
Franklin Junior High School,Mesa,Yes,Yes,Yes,89%,93%,Unranked,5,67%,1%,0.40%,26%,2%,5%,2.6,Private
Fremont Junior High School,Mesa,no,,yes,39%,37%,Unranked,135,52%,4%,2%,37%,1%,4%,,
Heritage Academy,Mesa,yes,yes,yes,46%,61%,"3,302",52,70.80%,0.50%,0.30%,25.50%,0.60%,2.30%,14.1,Private
Highland Jr High School,Mesa,,yes,yes,52%,55%,Unranked,170,66.20%,1.60%,0.60%,23.40%,2.10%,6.10%,,
Great Hearts Academies - Scottsdale Prep,Scottsdale,Yes,Yes,Yes,72%,80%,"3,532",54,77%,1%,0.01,8%,9%,1%,1.1,Private
Horizon High School,Scottsdale,Yes,Yes,Yes,78%.,76%.,"4,862",36,77%,2%,1%,12%,4%,1%,3.6,Private
Notre Dame Preparatory,Scottsdale,Yes,Yes,Yes,86%.,84%,361,4,88%,1%,0%,3%,3%,0%,4.2,Private
Saguaro High School,Scottsdale,Yes,Yes,Yes,79%,77%,"2,683",42,68%,4%,1%,19%,5%,0%,1.3,Private
Salt River Accelerated Learning Academy,Scottsdale,Yes,Yes,Yes,85%,80%,Not ranked,,0%,0%,1%,5%,0%,0%,,
Midtown High School,Phoenix,Yes,Yes,Yes,32,56,"23,944",510,4%,0%,0%,96%,0%,0%,21.2,Public
