School Name,City,AP Classes?,Dual Enrollment?,Offers Electives?,Math Score,English Score,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,student_faculty_ratio,school_type
Red Mountain High School,Messa,Yes,Yes,Yes,47%,77.67%,129,4,70,3,2,20,2,3,23.9,Private
Mountain Ridge High School,Glendale,yes,yes,yes,51,55,2046,28,69,2,1,13,10,5,17.6,Public
Ombudsman - Charter West,Glendale,yes,yes,yes,,,,,43,17,3,32,2,3,,
Raymond S. Kellis,Glendale,yes,yes,yes,48,43,7392,126,24,8,1,57,5,5,22.4,Private
Sandra Day O'Connor High School,Glendale,yes,yes,yes,70%,69%,2622,41,74,2,1,14,5,4,0.9,Private
Sunflower School,Glendale,yes,yes,Yes,25%,25%,,,35,7.5,0,42.5,7.5,7.5,,
Deer Valley Academy,Glendale,YES,YES,YES,36%,39%,Unranked,250,33.30%,16.70%,1.20%,50.00%,2.60%,33.30%,27,Public
Deer Valley High School,Glendale,YES,YES,YES,58%,51%,6336,109,55.20%,5.90%,1.20%,30.50%,2.60%,49.50%,17.5,Private
Desert Heights Preparatory Academy,Glendale,YES,YES,YES,43%,40%,Unranked,398,56.20%,7.20%,1.40%,29.00%,1.40%,50.1,25.5,Private
Desert Sky Middle School,Glendale,NO,YES,NO,42%,42%,Unranked,289,54.30%,4.30%,0.60%,33.50%,1.90%,51.1,21.4,Public
E-Institute at Grovers,Glendale,YES,YES,YES,30%,30%,Unranked,371,22.20%,,,77.80%,,77.80%,,
Campo Verde High School,Gilbert,Yes,Yes,,58%,51%,1997,29,73%,4%,1%,15%,5%,2%,,
Cenpatico Schools,Gilbert,,No,,43%,40%,5624,53,24%,18%,4%,51%,2%,0%,,
Desert Hills High School,Gilbert,Yes,No,,42%,42%,17392,319,37%,11%,17%,31%,0%,4%,,
Eduprize School Gilbert,Gilbert,No,Yes,Yes,30%,30%,2062,72,71%,3%,1%,17%,4%,3%,17,Public
Cooley Middle School,Gilbert,,,,58%,51%,Unranked,Unknown,69%,5%,1%,19%,4%,3%,,
Madison Highland Prep,Phoenix,,,,43%,40%,15985,280,32%,6%,4%,53%,2%,4%,,
Maryvale High School,Phoenix,,,,42%,42%,273,14,3%,4%,1%,92%,0%,0%,,
Metro Tech High School,Phoenix,,,,30%,30%,2497,89,2%,1%,0%,96%,0%,0%,,
Metrocenter Academy,Phoenix,,,,70,52,18313,337,26%,9%,5%,57%,1%,3%,,
Metropolitan Arts Institute,Phoenix,,,,60,80,15846,277,52%,5%,0%,36%,1%,6%,,
