School Name,City,AP Classes?,Dual Enrollment?,Offers Electives?,Math Score,English Score,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,school_type
South ridge high school,Phoenix,Yes,Yes,Yes,54,50,5152,1224,7,11,1,78,2,1,Public
Gilbert High School,Gibert,Yes,Yes,Yes,78,76,739,30,69.7,7.6,0.2,20.7,1.4,0.4,Public
Gilbert Junior High School,Gibert,Yes,Yes,Yes,82,80,"1,243rd",37th,64.4,3.8,0.7,25.8,4.3,1.8,Private
Great Hearts Academies-Arete Prep,Gibert,Yes,No,Yes,83,81,10443,194,75.6,2.4,0.2,17.6,3.4,0.8,Private
Westwood High School,Mesa,Yes,Yes,No,30,30,201,10,28,6,10,52,2,1,Public
Phoenix Country Day School,Paradise Valley,Yes,Yes,Yes,23,22,564,7,70,3,1,6,10,9,Public
Centennial High School,Peoria,Yes,Yes,Yes,82,80,"1,467",48,56,5,1,31,3,4,Private
Dobson High School,Mesa,Yes,Yes,Yes,82,80,501,20,38,8,5,45,3,1,Private
Basis Mesa,Mesa,Yes,Yes,Yes,94,95,22,3,75,5,0,15,5,0,Private
Valley Christian High School,Chandler,Yes,Yes,Yes,60,50,"1,576",15,82,5,1,8,2,1,Private
Dysart High School,El Mirage,Yes,Yes,Yes,40,75,"3,122",99,30,9,2,54,2,1,Private
West-Mec - Dysart High School,El Mirage,Yes,Yes,Yes,60,70,"25,948",630,100,0,0,0,0,0,Public
Arizona Agribusiness & Equine Center Inc. - Red Mountain,Mesa,Yes,Yes,Yes,5,53,6281,106,67.80,5.20,1.20,23.50,1.70,1.20,Public
Asu Preparatory Academy-polytechnic High School,Mesa,No,Yes,Yes,66,77,7284,124,37.30,5.90,1.90,44.30,5,5.40,Public
Carson Junior High School,Mesa,no,yes,yes,26,22,6108,446,17.50,6.50,14.40,58.00,0.40,3.20,Public
Desert Ridge High School,Mesa,yes,yes,yes,21,30,7011,123,60.20,3.10,1.50,27.90,3.10,4.20,Public
North Pointe Preparatory,Phoenix,yes,yes,yes,30,47,7115,144,48,4,1,40,3,4,Public
Northwest Christian School,Phoenix,yes,yes,yes,26,28,79,1,83,1,1,9,2,4,Public
Ombudsman - Charter East,Phoenix,yes,yes,yes,25,10,21673,445,14,4,11,69,1,0,Public
Ombudsman - Charter East li,Phoenix,yes,yes,yes,10,10,18639,346,12,5,3,79,0,1,Public
Kino Junior High School,Mesa,Yes,No,No,17,20,1769,467,13,3,7,76,0,0,Public
Mesa Distance Learning Program,Mesa,No,No,Yes,31,30,"17,102",305,62,2,2,26,2,4,Public
Western School of Science and Technology,Phoenix,Yes,No,Yes,44,43,"13,024",235,1,2,0,97,0,0,Private
Genesis Acedemy,Phoenix,Yes,Yes,Yes,8,76,13838,250,3,5,3,88,0,1,Public
Girls Leadership Academy Of Arizona,Phoenix,Yes,Yes,Yes,15,20,13261,237,5,15,2,76,2,1,Public
Glenview College Preparatory High School,Phoenix,Yes,Yes,Yes,20,20,9164,161,12,10,1,74,1,2,Public
Great Hearts Academies- Archway Veritas,Phoenix,Yes,Yes,Yes,62,68,5303,137,77,1,0,10,4,7,Public
Eduprize School Gilbert,Gilbert,No,Yes,Yes,53,61,2062,72,71,3,1,17,4,3,Public
The Aces-Tempe,Tempe,No,No,No,52,62,3704,31,20,8,4,16,4,48,Private
The early career academy,Tempe,No,No,No,53,61,"24,174",514,41,14,5,23,0,17,Private
Valley preparatory academy,Tempe,No,No,No,48,48,23688,501,40,10,0,17,0,33,Private
Sierra Linda High School,Tolleson,Yes,No,Yes,31,30,"1,898",62,4,9,0,84,0,3,Public
Humanities and Sciences Academy Arizona,Tempe,Yes,Yes,Yes,44,43,"23,625",499,6,16,6,68,0,4,Public
Humanities and Science High School - Tempe,Tempe,Yes,Yes,Yes,9,19,"25,082",560,10,20,0,60,10,0,Public
Integrity Education Centre,Tempe,Yes,Yes,Yes,30,30,"22,533",473,62,8,4,21,0,5,Public
Basis Chandler,Chandler,yes,yes,no,90,81,30,6,22,8,1,3,71,2,Private
Foothills Academy,Scottsdale,Yes,No,Yes,53,61,"14,236",258,86,1,0,6,4,3,Private
Foothills Academy Connected,Scottsdale,Yes,Yes,No,33,46,"24,822",547,13,0,0,0,0,0,Private
Gateway Academy,Scottsdale,No,No,Yes,N/a,N/a,"5,234",48,75,5,0,7,4,9,Public
Great Hearts Academies - Scottsdale,scottsdale,Yes,Yes,Yes,69,73,6722,139,77,1,0,8,9,4,Public
Boulder Creek High School,Anthem,yes,yes,yes,45,41.67,"2,843",45,82,2,0,11,2,3,Public
Agua Fria High School,Avondale,yes,yes,yes,40,44.8,"1,495",11,20,11,1,65,2,2,Public
Central High School,Phoenix,Yes,Yes,Yes,4,4,847,10,7.4,16.8,6.5,72.77,2.3,2.9,Public
Thunderbird High School,Phoenix,Yes,Yes,Yes,64,49,3218,101,51,7,3,36,3,1,Public
Trevor Browne High School,Phoenix,Yes,Yes,Yes,44,43,248,13,3,4,1,91,1,1,Private
Tumbleweed Transitional Learning Center,Phoenix,No,No,Yes,9,19,22127,462,2,11,0,87,0,0,Public
Valley Lutheran High School,Phoenix,Yes,Yes,Yes,80,82,3283,27,54,9,4,16,11,5,Private
Victory High School - Campus,Phoenix,Yes,Yes,Yes,75,78,24174,514,0,9,0,82,9,0,Private
Marcos De Niza High School,Tempe,Yes,Yes,Yes,39,60,"3,319",103,27,10,11,47,3,3,Public
Mcclintock High School,Tempe,Yes,No,No,50,50,"2,038",71,33,10,5,43,4,5,Public
New School For The Arts,Tempe,Yes,Yes,Yes,69,40,"17,363",317,63,10,3,18,2,3,Public
Pinnacle Charter High School,Tempe,Yes,Yes,Yes,37,35,"22,979",483,30,9,7,51,0,2,Private
Tonopah Valley High School,Tonopah,Yes,Yes,Yes,55,56,#10.279,#181,37.30,3.60,0.40,55.20,0.20,2.80,Public
Shadow Ridge High School,Wikenburg,yes,Yes,Yes,28,24,#4574,#126,58.50,4.60,0.40,27.80,2.10,6.50,Public
Wickenburg High school,Wikenburg,Yes,Yes,Yes,55,56,"#13,261",237-317,53.40,2.40,1.00,42,0.20,0,Private
Paradise Valley High School,Phoenix,yes,yes,yes,60,70,#4226,625,43,4,1,45,3,4,Public
Phoenix Christian Preparatory School,Phoenix,yes,yes,yes,43,65,1439,15,30,31,0,33,6,0,Private
Phoenix College Preparatory School,Phoenix,Yes,yes,Yes,44,58,5864,51,12,10,2,76,0,1,Private
Phoenix Collegiate Academy Charter School,Phoenix,yes,yes,yes,43,65,9551,309,2,8,1,89,0,1,Private
Gateway Early College High School,Phoenix,Yes,Yes,Yes,14,12,8646,155,1.60,13.60,6,82.80,0.30,0.30,Public
Franklin Police and Fire High School,Phoenix,Yes,Yes,Yes,43,65,4136,65,3.10,0.70,1.70,93.40,1.00,0,Private
Mountain Ridge High School,Glendale,yes,yes,yes,51,55,2046,28,69,2,1,13,10,5,Public
Raymond S. Kellis,Glendale,yes,yes,yes,48,43,7392,126,24,8,1,57,5,5,Private
Sandra Day O'Connor High School,Glendale,yes,yes,yes,70,69,2622,41,74,2,1,14,5,4,Private
Deer Valley High School,Glendale,YES,YES,YES,58,51,6336,109,55.20,5.90,1.20,30.50,2.60,49.50,Private
